protein1	protein2	combined_score
ARPC1A	WAS	0.966
ARPC1A	ACTR2	0.999
ARPC1A	ARPC5	0.999
ARPC1A	ARPC4	0.999
ARPC1A	ARPC5L	0.999
ARPC1A	ACTR3	0.999
ARPC1A	ARPC2	0.999
ACTR3	WAS	0.996
ACTR3	ARPC5L	0.998
ACTR3	ARPC2	0.999
ACTR3	ARPC4	0.999
ACTR3	ARPC5	0.999
ACTR3	ACTR2	0.999
ARPC5	ARPC5L	0.947
ARPC5	WAS	0.993
ARPC5	ARPC2	0.999
ARPC5	ACTR2	0.999
ARPC5	ARPC4	0.999
ARPC2	WAS	0.997
ARPC2	ACTR2	0.999
ARPC2	ARPC5L	0.999
ARPC2	ARPC4	0.999
ARPC5L	WAS	0.955
ARPC5L	ACTR2	0.999
ARPC5L	ARPC4	0.999
WAS	ARPC4	0.981
WAS	ACTR2	0.999
ACTR2	ARPC4	0.999
MYNN	ACTRT3	0.734
MYNN	LRRIQ4	0.735
MYNN	LRRC34	0.81
ACTRT3	LRRC34	0.7
ACTRT3	LRRIQ4	0.744
LRRIQ4	LRRC34	0.73
ACVR2A	SMAD4	0.894
ACVR2A	TDGF1	0.977
ACVR2A	SMAD2	0.977
ACVR2A	TGFBR1	0.988
ACVR2A	ACVR1C	0.996
ACVR2A	MSTN	0.997
ACVR2A	ACVR1B	0.998
ACVR2A	ACVR2B	0.998
ACVR2A	INHBA	0.999
ACVR2A	ACVR1	0.999
INHBA	SMAD2	0.738
INHBA	ACVR1C	0.982
INHBA	ACVR1B	0.996
INHBA	ACVR2B	0.999
ACVR1C	MSTN	0.734
ACVR1C	SMAD4	0.817
ACVR1C	ACVR1	0.908
ACVR1C	TGFBR1	0.955
ACVR1C	ACVR1B	0.967
ACVR1C	TDGF1	0.979
ACVR1C	SMAD2	0.982
ACVR1C	ACVR2B	0.997
MSTN	SMAD4	0.785
MSTN	SMAD2	0.915
MSTN	ACVR1B	0.995
MSTN	TGFBR1	0.999
MSTN	ACVR2B	0.999
SMAD2	TDGF1	0.89
SMAD2	ACVR1	0.97
SMAD2	ACVR1B	0.972
SMAD2	ACVR2B	0.983
SMAD2	SMAD4	0.999
SMAD2	TGFBR1	0.999
TDGF1	ACVR2B	0.988
TDGF1	ACVR1B	0.998
ACVR2B	SMAD4	0.881
ACVR2B	ACVR1	0.993
ACVR2B	ACVR1B	0.999
ACVR2B	TGFBR1	0.999
SMAD4	ACVR1	0.86
SMAD4	ACVR1B	0.957
SMAD4	TGFBR1	0.998
ACVR1	TGFBR1	0.96
ACVR1	ACVR1B	0.979
ACVR1B	TGFBR1	0.988
COMP	ADAMTS7	0.941
PHACTR1	ADAMTS7	0.702
ADAMTS7	FURIN	0.749
EIF2AK2	DHX9	0.808
EIF2AK2	ADAR	0.873
EIF2AK2	DICER1	0.923
EIF2AK2	IFIH1	0.962
AXIN1	ADAR	0.993
AXIN1	GSK3B	0.999
GSK3B	ADAR	0.896
DHX9	RBMX	0.776
DHX9	ADAR	0.922
DHX9	DICER1	0.987
ADAR	IFIH1	0.851
ADAR	SAMHD1	0.864
ADAR	RBMX	0.926
ADAR	ADA	0.952
ADAR	UPF1	0.983
ADAR	DICER1	0.993
RBMX	UPF1	0.934
DICER1	UPF1	0.759
AFTPH	AP5M1	0.907
AFTPH	AP4E1	0.907
AFTPH	AP2A1	0.907
AFTPH	AP2M1	0.908
AFTPH	AP2S1	0.91
AFTPH	AP2B1	0.921
AFTPH	CLTA	0.921
AFTPH	CLTC	0.932
AFTPH	AP1S2	0.938
AFTPH	SYNRG	0.973
CLTA	SYNRG	0.794
CLTA	AP2M1	0.958
CLTA	AP2S1	0.961
CLTA	AP2B1	0.965
CLTA	AP2A1	0.983
CLTA	CLTC	0.999
AP5M1	SYNRG	0.746
AP5M1	AP1S2	0.864
AP5M1	AP2S1	0.921
AP5M1	AP2M1	0.922
AP5M1	AP2A1	0.948
AP5M1	AP4E1	0.962
AP5M1	AP2B1	0.962
AP4E1	CLTC	0.735
AP4E1	SYNRG	0.763
AP4E1	AP1S2	0.865
AP4E1	AP2A1	0.927
AP4E1	AP2S1	0.96
AP4E1	AP2B1	0.964
AP4E1	AP2M1	0.967
AP2A1	SYNRG	0.776
AP2A1	AP1S2	0.833
AP2A1	CLTC	0.989
AP2A1	AP2S1	0.999
AP2A1	AP2B1	0.999
AP2A1	AP2M1	0.999
AP2M1	SYNRG	0.759
AP2M1	AP1S2	0.875
AP2M1	CLTC	0.988
AP2M1	AP2B1	0.999
AP2M1	AP2S1	0.999
AP2S1	AP1S2	0.751
AP2S1	SYNRG	0.775
AP2S1	CLTC	0.958
AP2S1	AP2B1	0.999
CLTC	SYNRG	0.818
CLTC	AP2B1	0.997
AP2B1	SYNRG	0.81
AP2B1	AP1S2	0.974
SYNRG	AP1S2	0.943
DCK	ENPP1	0.913
DCK	AK5	0.921
DCK	ADSL	0.936
DCK	APRT	0.95
PKM	NTPCR	0.9
PKM	ENPP1	0.905
PKM	ENTPD2	0.905
PKM	AK5	0.915
PKM	PKLR	0.919
PKLR	NTPCR	0.9
PKLR	ENTPD2	0.9
PKLR	ENPP1	0.903
PKLR	AK5	0.913
AK5	ENPP1	0.904
AK5	NTPCR	0.905
AK5	TPK1	0.913
AK5	ENTPD2	0.915
AK5	ADK	0.928
AK5	ADSL	0.958
AK5	APRT	0.965
ENTPD2	NTPCR	0.951
TPK1	NTPCR	0.917
APRT	ENPP1	0.908
APRT	ADSL	0.99
APRT	ADK	0.996
ADK	ENPP1	0.933
ADK	ADSL	0.977
ADSL	ENPP1	0.9
ANKLE2	ANKLE1	0.711
APOH	APOA5	0.918
APOH	APOE	0.921
APOH	APOC1	0.931
APOH	APOA4	0.938
APOH	APOC2	0.946
APOH	APOM	0.981
APOH	APOA1	0.985
APOH	APOC3	0.987
APOH	APOA2	0.989
APOC3	APOM	0.955
APOC3	APOA5	0.995
APOC3	APOC1	0.999
APOC3	APOC2	0.999
APOC3	APOE	0.999
APOC3	APOA2	0.999
APOC3	APOA4	0.999
APOC3	APOA1	0.999
APOA1	APOA5	0.951
APOA1	APOM	0.972
APOA1	APOA4	0.989
APOA1	APOC2	0.997
APOA1	APOC1	0.998
APOA1	APOA2	0.999
APOA1	APOE	0.999
APOE	APOM	0.941
APOE	APOA5	0.992
APOE	APOA4	0.995
APOE	APOC2	0.999
APOE	APOA2	0.999
APOE	APOC1	0.999
APOA4	APOA5	0.918
APOA4	APOM	0.949
APOA4	APOC1	0.969
APOA4	APOC2	0.987
APOA4	APOA2	0.994
APOA2	APOA5	0.972
APOA2	APOM	0.98
APOA2	APOC1	0.991
APOA2	APOC2	0.995
GPANK1	APOM	0.967
APOM	APOC1	0.939
APOM	APOA5	0.942
APOM	APOC2	0.943
APOA5	APOC1	0.947
APOA5	APOC2	0.994
APOC1	APOC2	0.999
AQP2	AQP1	0.713
AQP2	MIP	0.738
AQP2	AQP10	0.741
AQP2	AQP3	0.752
AQP2	AQP11	0.867
AQP2	AQP12A	0.87
AQP8	AQP3	0.748
AQP8	AQP12A	0.942
AQP8	AQP11	0.953
AQP8	AQP10	0.967
AQP5	AQP3	0.742
AQP5	AQP11	0.897
AQP5	AQP12A	0.903
AQP5	AQP10	0.943
AQP3	AQP10	0.708
AQP3	MIP	0.744
AQP3	AQP1	0.745
AQP3	GK	0.829
AQP3	GK2	0.83
AQP3	AQP12A	0.891
AQP3	AQP11	0.9
AQP1	AQP12A	0.768
AQP1	AQP11	0.805
AQP10	AQP11	0.941
AQP10	AQP12A	0.943
AQP10	MIP	0.966
AQP11	MIP	0.94
GK2	GK	0.958
AQP12A	MIP	0.947
AQP2	AQP7	0.727
AQP8	AQP7	0.82
AQP5	AQP7	0.748
AQP7	MIP	0.734
AQP7	GK2	0.742
AQP7	GK	0.742
AQP7	AQP1	0.748
AQP7	PLIN1	0.792
AQP7	AQP12A	0.925
AQP7	AQP11	0.954
HPGDS	PTGDR	0.704
HPGDS	PTGDS	0.991
PTGDR	WDR5	0.708
PTGDR	PDS5B	0.816
PTGDR	EZH2	0.817
PTGDR	PTGDS	0.888
PTGDR	PTGDR2	0.892
EZH2	WDR5	0.904
RALY	MC1R	0.726
RALY	ASIP	0.801
ATRN	MC1R	0.768
ATRN	ASIP	0.83
TYR	POMC	0.777
TYR	ASIP	0.793
TYR	TYRP1	0.896
TYR	MC1R	0.96
TYR	SLC45A2	0.97
TYR	OCA2	0.989
AGRP	MC1R	0.718
AGRP	ASIP	0.827
AGRP	POMC	0.977
SLC45A2	ASIP	0.767
SLC45A2	MC1R	0.909
SLC45A2	TYRP1	0.959
SLC45A2	OCA2	0.977
DEFB103A	MC1R	0.759
DEFB103A	ASIP	0.8
OCA2	ASIP	0.811
OCA2	MC1R	0.936
OCA2	TYRP1	0.972
TYRP1	POMC	0.729
TYRP1	ASIP	0.818
TYRP1	MC1R	0.934
POMC	ASIP	0.905
POMC	MC1R	0.999
MC1R	ASIP	0.999
MSH2	NBN	0.824
MSH2	MRE11	0.847
MSH2	ATR	0.91
MSH2	CHEK2	0.934
MSH2	TP53	0.974
MSH2	BRCA1	0.994
MSH2	MSH6	0.999
MSH2	ATM	0.999
MSH6	ATR	0.824
MSH6	TP53	0.826
MSH6	MRE11	0.862
MSH6	CHEK2	0.89
MSH6	NBN	0.907
MSH6	BRCA1	0.996
MSH6	ATM	0.999
NBN	TP53	0.763
NBN	TP53BP1	0.923
NBN	CHEK2	0.935
NBN	ATR	0.964
NBN	BRCA1	0.993
NBN	MDC1	0.994
NBN	ATM	0.999
NBN	MRE11	0.999
TP53	MDC1	0.853
TP53	MRE11	0.905
TP53	ATR	0.996
TP53	ATM	0.999
TP53	CHEK2	0.999
TP53	BRCA1	0.999
TP53	TP53BP1	0.999
ATM	BRCA1	0.999
ATM	CHEK2	0.999
ATM	MDC1	0.999
ATM	MRE11	0.999
ATM	ATR	0.999
ATM	TP53BP1	0.999
MRE11	CHEK2	0.9
MRE11	TP53BP1	0.938
MRE11	MDC1	0.956
MRE11	ATR	0.968
MRE11	BRCA1	0.999
ATR	MDC1	0.889
ATR	TP53BP1	0.975
ATR	BRCA1	0.996
ATR	CHEK2	0.998
MDC1	CHEK2	0.99
MDC1	BRCA1	0.999
MDC1	TP53BP1	0.999
TP53BP1	CHEK2	0.996
TP53BP1	BRCA1	0.999
CHEK2	BRCA1	0.999
TMEM30A	ATP8B4	0.94
ATP8B4	TMEM30B	0.955
MGRN1	ANKRD46	0.784
MGRN1	MC1R	0.881
MGRN1	ATRN	0.992
ATRN	DPP4	0.711
ATRN	ANKRD46	0.716
ATRN	RNF157	0.769
ATRN	MC4R	0.871
MC4R	ASIP	0.755
APOH	HP	0.736
APOH	ORM1	0.76
APOH	GC	0.766
APOH	HPX	0.792
APOH	AZGP1	0.81
APOH	AHSG	0.957
ORM1	HPX	0.778
ORM1	GC	0.785
ORM1	AZGP1	0.787
ORM1	AHSG	0.926
ORM1	HP	0.973
HPX	AZGP1	0.784
HPX	GC	0.827
HPX	AHSG	0.879
HPX	HP	0.994
AHSG	RBP4	0.736
AHSG	AZGP1	0.794
AHSG	HP	0.882
AHSG	GC	0.959
PIP	AZGP1	0.999
AZGP1	ACPP	0.727
AZGP1	RBP4	0.746
AZGP1	HP	0.782
AZGP1	GC	0.823
AZGP1	KLK3	0.833
KLK3	ACPP	0.956
HP	RBP4	0.734
HP	GC	0.906
RBP4	GC	0.749
BARD1	BABAM1	0.998
BARD1	UIMC1	0.999
BARD1	ABRAXAS1	0.999
BARD1	BRCA1	0.999
BARD1	BABAM2	0.999
BARD1	BRCC3	0.999
ABRAXAS2	BRCA1	0.814
ABRAXAS2	UIMC1	0.891
ABRAXAS2	SHMT2	0.999
ABRAXAS2	BRCC3	0.999
ABRAXAS2	BABAM2	0.999
ABRAXAS2	BABAM1	0.999
TNKS	BRCA1	0.797
TNKS	BABAM1	0.913
SHMT2	BABAM1	0.997
SHMT2	BABAM2	0.998
SHMT2	BRCC3	0.999
BABAM2	BRCC3	0.999
BABAM2	BABAM1	0.999
BABAM2	BRCA1	0.999
BABAM2	ABRAXAS1	0.999
BABAM2	UIMC1	0.999
BABAM1	TNKS2	0.862
BABAM1	UIMC1	0.999
BABAM1	ABRAXAS1	0.999
BABAM1	BRCA1	0.999
BABAM1	BRCC3	0.999
BRCC3	UIMC1	0.999
BRCC3	ABRAXAS1	0.999
BRCC3	BRCA1	0.999
ABRAXAS1	UIMC1	0.999
ABRAXAS1	BRCA1	0.999
BRCA1	UIMC1	0.999
SGTA	GET3	0.976
SGTA	BAG6	0.993
SGTA	GET4	0.999
SGTA	UBL4A	0.999
FAF2	UBL4A	0.926
FAF2	BAG6	0.995
FAF2	UBXN1	0.999
DESI1	BAG6	0.994
GET4	RNF126	0.956
GET4	BAG6	0.999
GET4	UBL4A	0.999
GET4	GET3	0.999
RNF126	UBL4A	0.825
RNF126	GET3	0.857
RNF126	BAG6	0.997
UBXN1	BAG6	0.995
HAVCR2	BAG6	0.941
NCR3	BAG6	0.995
UBL4A	GET3	0.999
UBL4A	BAG6	0.999
BAG6	GET3	0.978
CHRAC1	BAZ1B	0.878
CHRAC1	RSF1	0.887
CHRAC1	SMARCA1	0.982
CHRAC1	SMARCA5	0.997
CHRAC1	BAZ1A	0.998
CHRAC1	POLE3	0.999
SMARCA5	C17orf49	0.974
SMARCA5	SMARCA1	0.974
SMARCA5	CECR2	0.997
SMARCA5	RBBP4	0.997
SMARCA5	BPTF	0.999
SMARCA5	POLE3	0.999
SMARCA5	RSF1	0.999
SMARCA5	BAZ1B	0.999
SMARCA5	BAZ1A	0.999
BPTF	BAZ1B	0.882
BPTF	RSF1	0.918
BPTF	CECR2	0.925
BPTF	BAZ1A	0.935
BPTF	C17orf49	0.99
BPTF	RBBP4	0.996
BPTF	SMARCA1	0.999
RSF1	C17orf49	0.721
RSF1	RBBP4	0.759
RSF1	CECR2	0.83
RSF1	POLE3	0.846
RSF1	BAZ1A	0.907
RSF1	BAZ1B	0.95
RSF1	SMARCA1	0.968
BAZ1B	C17orf49	0.772
BAZ1B	RBBP4	0.799
BAZ1B	CECR2	0.874
BAZ1B	POLE3	0.918
BAZ1B	BAZ1A	0.946
BAZ1B	SMARCA1	0.998
SMARCA1	C17orf49	0.974
SMARCA1	POLE3	0.994
SMARCA1	RBBP4	0.997
SMARCA1	BAZ1A	0.999
SMARCA1	CECR2	0.999
RBBP4	CECR2	0.914
RBBP4	BAZ1A	0.943
RBBP4	C17orf49	0.964
POLE3	CECR2	0.707
POLE3	BAZ1A	0.999
BAZ1A	C17orf49	0.921
BAZ1A	CECR2	0.941
CECR2	C17orf49	0.9
H3-3B	H3-5	0.81
H3-3B	SMARCA1	0.87
H3-3B	H3-2	0.882
H3-3B	H3-4	0.909
H3-3B	SMARCA5	0.91
H3-3B	H3C12	0.916
H3-3B	H3C13	0.954
H3-3B	RBBP4	0.981
H3-3B	BPTF	0.998
SMARCA5	H3-5	0.821
SMARCA5	H3-2	0.821
SMARCA5	H3-4	0.888
SMARCA5	H3C12	0.916
SMARCA5	H3C13	0.99
BPTF	H3-5	0.995
BPTF	H3-2	0.995
BPTF	H3C12	0.996
BPTF	H3-4	0.997
BPTF	H3C13	0.997
H3C13	SMARCA1	0.806
H3C13	H3-5	0.871
H3C13	H3-2	0.903
H3C13	H3-4	0.926
H3C13	RBBP4	0.956
H3C13	H3C12	0.988
H3-5	SMARCA1	0.806
H3-5	H3-4	0.856
H3-5	H3C12	0.856
H3-5	H3-2	0.871
H3-5	RBBP4	0.914
H3C12	SMARCA1	0.88
H3C12	H3-4	0.927
H3C12	H3-2	0.944
H3C12	RBBP4	0.995
H3-4	SMARCA1	0.806
H3-4	H3-2	0.865
H3-4	RBBP4	0.936
SMARCA1	H3-2	0.806
RBBP4	H3-2	0.915
BRIP1	XRCC3	0.753
BRIP1	RAD51C	0.941
BRIP1	RAD51	0.951
BRIP1	FANCD2	0.997
BRIP1	BRCA2	0.998
BRIP1	PALB2	0.998
BRIP1	BRCA1	0.999
BRIP1	BARD1	0.999
BARD1	FANCD2	0.783
BARD1	SEM1	0.79
BARD1	XRCC3	0.905
BARD1	RAD51C	0.967
BARD1	PALB2	0.987
BARD1	RAD51	0.999
BARD1	BRCA2	0.999
PALB2	XRCC3	0.91
PALB2	SEM1	0.919
PALB2	FANCD2	0.991
PALB2	RAD51	0.999
PALB2	BRCA1	0.999
PALB2	RAD51C	0.999
PALB2	BRCA2	0.999
FANCD2	XRCC3	0.926
FANCD2	RAD51C	0.934
FANCD2	RAD51	0.998
FANCD2	BRCA1	0.999
FANCD2	BRCA2	0.999
RAD51C	SEM1	0.755
RAD51C	BRCA1	0.98
RAD51C	RAD51	0.996
RAD51C	BRCA2	0.999
RAD51C	XRCC3	0.999
BCCIP	RAD51	0.893
BCCIP	BRCA2	0.997
BRCA2	SEM1	0.999
BRCA2	RAD51	0.999
BRCA2	BRCA1	0.999
BRCA2	XRCC3	0.999
BRCA1	SEM1	0.895
BRCA1	XRCC3	0.953
BRCA1	RAD51	0.999
XRCC3	SEM1	0.779
XRCC3	RAD51	0.998
SEM1	RAD51	0.979
MFGE8	BTN2A1	0.789
PLIN2	XDH	0.904
PLIN2	BTN2A1	0.956
BTN2A1	CD209	0.978
BTN2A1	XDH	0.988
BTN3A3	MFGE8	0.789
BTN3A3	PLIN2	0.917
BTN3A3	BTN3A2	0.96
BTN3A3	BTN3A1	0.966
BTN3A3	XDH	0.968
MFGE8	BTN3A1	0.777
MFGE8	BTN3A2	0.783
PLIN2	BTN3A1	0.91
PLIN2	BTN3A2	0.913
BTN3A1	IL1F10	0.76
BTN3A1	KPNA7	0.783
BTN3A1	PPL	0.932
BTN3A1	XDH	0.966
BTN3A1	BTN3A2	0.993
KPNA7	IL1F10	0.838
BTN3A2	XDH	0.968
TRIM21	BTN3A2	0.704
PSMB9	BTN3A2	0.746
BTN3A3	CLEC4G	0.824
HLA-DRB1	HLA-DQB1	0.75
HLA-DRB1	BTNL2	0.845
HLA-DRB1	HLA-DRB5	0.955
HLA-DRB1	HLA-DRA	0.999
HLA-DQB1	BTNL2	0.758
HLA-DQB1	HLA-DRB5	0.763
HLA-DQB1	HLA-DRA	0.976
HLA-DRB5	BTNL2	0.715
HLA-DRB5	HLA-DRA	0.999
HLA-DRA	BTNL2	0.774
BTNL2	ANXA11	0.841
F9	XXYLT1	0.823
POGLUT1	GXYLT2	0.722
POGLUT1	XXYLT1	0.808
XXYLT1	GXYLT2	0.787
SUPT16H	C6orf15	0.898
SUPT16H	POLR2F	0.935
SUPT16H	IWS1	0.948
SUPT16H	POLR2K	0.954
SUPT16H	POLR2G	0.963
SUPT16H	POLR2E	0.966
SUPT16H	POLR2D	0.978
SUPT16H	POLR2B	0.988
SUPT16H	SUPT4H1	0.991
SUPT16H	POLR2C	0.994
POLR2C	C6orf15	0.86
POLR2C	IWS1	0.906
POLR2C	SUPT4H1	0.998
POLR2C	POLR2B	0.999
POLR2C	POLR2K	0.999
POLR2C	POLR2E	0.999
POLR2C	POLR2D	0.999
POLR2C	POLR2F	0.999
POLR2C	POLR2G	0.999
SUPT4H1	C6orf15	0.886
SUPT4H1	IWS1	0.927
SUPT4H1	POLR2K	0.996
SUPT4H1	POLR2E	0.997
SUPT4H1	POLR2F	0.997
SUPT4H1	POLR2G	0.998
SUPT4H1	POLR2B	0.999
SUPT4H1	POLR2D	0.999
C6orf15	POLR2K	0.845
C6orf15	IWS1	0.854
C6orf15	POLR2F	0.867
C6orf15	POLR2B	0.872
C6orf15	POLR2E	0.886
C6orf15	POLR2G	0.89
C6orf15	POLR2D	0.89
POLR2D	POLR2G	0.999
POLR2D	POLR2F	0.999
POLR2D	POLR2E	0.999
POLR2D	POLR2K	0.999
POLR2D	POLR2B	0.999
IWS1	POLR2E	0.776
IWS1	POLR2B	0.92
POLR2G	POLR2F	0.999
POLR2G	POLR2B	0.999
POLR2G	POLR2K	0.999
POLR2G	POLR2E	0.999
POLR2K	POLR2E	0.999
POLR2K	POLR2B	0.999
POLR2K	POLR2F	0.999
POLR2B	POLR2E	0.999
POLR2B	POLR2F	0.999
POLR2F	POLR2E	0.999
BSCL2	CA10	0.773
RIPK3	FASLG	0.76
RIPK3	CASP10	0.781
RIPK3	CFLAR	0.992
RIPK3	TNF	0.998
RIPK3	TRADD	0.999
RIPK3	RIPK1	0.999
RIPK3	CASP8	0.999
RIPK3	FADD	0.999
RIPK1	FASLG	0.799
RIPK1	CASP3	0.908
RIPK1	TNFRSF10B	0.995
RIPK1	CASP10	0.996
RIPK1	CFLAR	0.999
RIPK1	FADD	0.999
RIPK1	CASP8	0.999
RIPK1	TNF	0.999
RIPK1	TRADD	0.999
TNFRSF10B	CASP3	0.782
TNFRSF10B	CASP10	0.957
TNFRSF10B	TRADD	0.99
TNFRSF10B	CFLAR	0.991
TNFRSF10B	TNF	0.997
TNFRSF10B	FADD	0.999
TNFRSF10B	CASP8	0.999
TNFRSF10B	FASLG	0.999
CASP10	CASP3	0.969
CASP10	FASLG	0.982
CASP10	TRADD	0.996
CASP10	CFLAR	0.998
CASP10	CASP8	0.999
CASP10	FADD	0.999
FADD	CASP3	0.951
FADD	TNF	0.99
FADD	CASP8	0.999
FADD	TRADD	0.999
FADD	FASLG	0.999
FADD	CFLAR	0.999
CASP3	TRADD	0.775
CASP3	CFLAR	0.863
CASP3	FASLG	0.892
CASP3	TNF	0.939
CASP3	CASP8	0.999
CFLAR	TNF	0.798
CFLAR	FASLG	0.963
CFLAR	CASP8	0.999
CFLAR	TRADD	0.999
TRADD	FASLG	0.938
TRADD	CASP8	0.999
TRADD	TNF	0.999
CASP8	TNF	0.999
CASP8	FASLG	0.999
FASLG	TNF	0.984
CCDC170	ZNHIT1	0.727
CCDC170	RMND1	0.763
CCDC170	ESR1	0.785
CCDC170	ARMT1	0.831
ARMT1	RMND1	0.826
ZBTB24	CDCA7	0.732
ZBTB24	HELLS	0.736
CDCA7	YWHAZ	0.719
CDCA7	CDCA2	0.719
CDCA7	HELLS	0.858
CCND1	KRAS	0.835
CCND1	MDM2	0.926
CCND1	CCND2	0.942
CCND1	TP53	0.946
CCND1	MYC	0.969
CCND1	CDKN2A	0.998
CCND1	CDK2	0.999
CCND1	CDK4	0.999
CCND1	CDK6	0.999
KRAS	CDK4	0.743
KRAS	NPM1	0.803
KRAS	MYC	0.872
KRAS	TP53	0.949
KRAS	CDKN2A	0.992
CDK4	MDM2	0.884
CDK4	MYC	0.966
CDK4	TP53	0.966
CDK4	CDK2	0.998
CDK4	CDKN2A	0.999
CDK4	CCND2	0.999
CDK4	CDK6	0.999
MDM2	MYC	0.813
MDM2	CDK2	0.849
MDM2	NPM1	0.974
MDM2	CDKN2A	0.999
MDM2	TP53	0.999
CCND2	MYC	0.701
CCND2	CDKN2A	0.99
CCND2	CDK2	0.995
CCND2	CDK6	0.999
CDK6	MYC	0.788
CDK6	TP53	0.808
CDK6	CDK2	0.998
CDK6	CDKN2A	0.999
CDK2	NPM1	0.826
CDK2	MYC	0.96
CDK2	TP53	0.987
CDK2	CDKN2A	0.993
TP53	MYC	0.997
TP53	NPM1	0.997
TP53	CDKN2A	0.999
NPM1	MYC	0.896
NPM1	CDKN2A	0.999
CDKN2A	MYC	0.998
CCND1	CCND3	0.939
CCND1	CDKN2B	0.974
CCND1	CDKN1B	0.999
CCND1	CDKN1A	0.999
CDKN1B	MYC	0.855
CDKN1B	CDKN2B	0.859
CDKN1B	CDKN2A	0.93
CDKN1B	CDKN1A	0.982
CDKN1B	TP53	0.991
CDKN1B	CDK4	0.999
CDKN1B	CDK6	0.999
CDKN1B	CCND3	0.999
CDKN1B	CCND2	0.999
CDK4	CCND3	0.999
CDK4	CDKN1A	0.999
CDK4	CDKN2B	0.999
CCND2	CCND3	0.937
CCND2	CDKN2B	0.962
CCND2	CDKN1A	0.999
CDK6	CCND3	0.999
CDK6	CDKN1A	0.999
CDK6	CDKN2B	0.999
TP53	CDKN2B	0.86
TP53	CDKN1A	0.999
CDKN2B	CDKN1A	0.89
CDKN2B	CCND3	0.946
CDKN2B	CDKN2A	0.951
CDKN2B	MYC	0.966
CCND3	CDKN2A	0.975
CCND3	CDKN1A	0.999
CDKN1A	CDKN2A	0.966
CDKN1A	MYC	0.981
PPP2CB	CEP350	0.766
